Name,gamma,R
Acetone,1.11,150
Acetylene,1.232,319
Air,1.4,287
Alcohol (ethanol),1.13,220
Alcohol (methanol),1.26,390
Ammonia,1.31,530
Argon,1.667,208
Benzene,1.12,100
Blast furnace gas,1.41,300
Bromine,1.28,50
Butane,1.094,143
Carbon dioxide,1.289,189
Carbon monoxide,1.4,297
Carbon disulphide,1.21,120
Chlorine,1.34,120
Chloroform,1.15,80
Combustion products,1.3,287
Ethane,1.187,276
Ether (diethyl ether),1.03,60
Ethylene,1.24,296
Helium,1.667,2080
Hydrogen,1.405,4120
Hydrogen Chloride,1.41,230
Hydroxyl,1.384,489
Methane,1.304,518
Natural Gas,1.27,500
Neon,1.667,412
Nitric Oxide,1.386,277
Nitrogen,1.4,297
Nitrogen tetroxide,1.02,90
Nitrous oxide,1.27,180
Oxygen,1.395,260
Propane,1.13,189
Propene (propylene),1.15,180
Water Vapor,1.32,462
Sulfur dioxide (Sulphur dioxide),1.29,130
